Tweet	Sentiment
yes ballet has problems with racism and mealy mouthed ineffective hand wringing over but tradition or but it s hard won t make the art any better for dancers of colour or audiences either racism can and will kill ballet we must face that now 	negative
 belief in god is like cocaine it feels good makes you happy it used to steal money from people unless you are peddling it for cash it s absolutely worthless similar to the bible of cheap things it s the cheapest 	positive
 hime is so much cuter than kizuna ai 	positive
ai ethics has come up a few times wish they had a dedicated talk on that topic specifically recommend specifically for next year ausarobot	positive
 au betterstartshere rhdhvatau outlining the projects her ai team are working on better collaboration better exploration automating the mundane 	positive
white collar jobs most susceptible to ai disruption brookings says 	negative
how close are we to autonomous entities that self monitor self fix and self learn w o human invention the dean of bigdata shares his vision in optimizing systems of subsystems rl ai 	positive
 expressvpn will allow you to mask your connection and remain anonymous no matter what kind of torrents you download torrent stream vpn 	negative
 i put in an innocuous sentence about our cats fighting and the ai escalated it into a dialogue about why one character shot the cats 	negative
task force on artificial intelligence hearing ai and the evolution of cloud computing key testimony on the risks challenges and opportunities lexology artificialintelligence 	positive
what ai does my favorite figure in our new report presents the most frequent verbs and the top nouns extracted by from k ai patents using ai what do you think 	positive
the summit was lit ai all the way aibootcamp dsn ai bootcamp 	neutral
 cellstratailab disrupt aishowcase interested in learning ai and how it is disrupting the world wish to be on forefront of ai revolution if yes i invite you to our annual ai showcase event ai innovations for automotive and manufacturing in 	positive
 complexity of self driving cars will be solved by better ai brains not by more physical sensors and hand coded rules the ongoing race to develop functional safe self driving cars continues as a uk based start up secures m series a funding 	positive
trump responds sondland testimony means impeachment is all over 	neutral
 there are risks everywhere but there s also an opportunity for europeans to invent the technologies of the future that will embed the values which are dear to our hearts listen to our new sound of economics podcast on ethics and ai 	positive
good to be here in paris addressing on women and ai and the future of work 	positive
join on dec th for a free webcast to learn how ai is transforming the employeeexperience walk away with five actionable tips to guarantee your first ai initiative is successful register now 	positive
 we should live in fear of not learning from the mistakes we will inevitably make mantra youthministry leadership 	negative
tough deciding between one general several specific and a hybrid approach to the number of software programming languages used by your organization ai ml 	negative
 his trippin	neutral
 that s why they need the ai era to kick off to replace the outraged moral employees	negative
 you ve probably never been hunting wild sheep they are really quite bad ass critters the domesticated ones have different selection factors based in what humans feel is useful	positive
icymi here is a recap of last nights event on ai ml and quantum vefdotorg ai ml quantum vancouver tech 	neutral
discussing at ai amy webb says ai makes china a pacing threat we are in a technological cold war 	negative
 ai startup raises million to clamp down on recruitment bias hrtech 	negative
 contact me now like i said i won t charge you a penny and you won t owe me anything well maybe a little gratitude when you see the benefit read the article here artificialintelligence usecase	positive
 one of the supplementary reports that will be coming along with the getting started with ai report releasing tomorrow is an ai career roadmap for nontechnical professionals including distinct career roles from ai strategy to ai project management 	neutral
is it right to use ai to identify children at risk of harm via artificialintelligence socialcare children 	negative
thanks for enthusiastically representing on a panel discussing the importance of industry academic and government collaboration in ai to improve healthcare the canadian ai advantage hrfai 	positive
john carmack retires from oculus to work on artificial general intelligence 	positive
it is believed that in time ani will lead to artificial general intelligence agi a level of machine intelligence that rivals human capabilities agi is believed to be the path to artificial super intelligence asi a level of intelligence that exceeds human comprehension 	positive
why is google slow walking its breakthroughs in ai via 	neutral
 please just restart and don t let ai take control of how content is categorized we can t make edgy content and now a majority of channels who make family friendly content and are now being penalized for it i legit want to make a website to help these poor fucks	positive
why are the grammys acting like nba youngboy s ai youngboy wasn t best rap album of the year 	positive
another microsoft for startups and nvidia s inception team up to accelerate ai startups via news 	neutral
 ai it s the sponsors ne mxm ba bossy	neutral
the risks of using ai to interpret human emotions 	negative
instead of to better their services they re looking people with loan issues 	positive
 ai arvr ctrl labs ceo we ll have neural interfaces in less than years via 	neutral
microsoft partners with baker hughes and c ai to digitally transform the energy industry sustainability energy climatechange digitaltransformation 	positive
 article is it right to use ai to identify children at risk of harm machinelearning is being used to help protect children but it raises ethical questions ai ethics getty via 	positive
